Sentences,Label
How do you know?,fear
"The next time you want to toss a fire alarm into a garbage chute, don&#39;t wrap it in a blanket that says &quot;Phoebe Buffay&#39;s property, not Monica&#39;s&quot; on it.",disgust
"Okay, have you - Okay, do you have a warrant? Because the last time I checked it was still America!",anger
"Ugh, thanks!",joy
Many Thanks!,joy
Oh here it is!,joy
Oh God!,joy
Ring damn ring!,anger
"I turned it off. Mother of God, I turned it off!",anger
Nngghhh !!!!!!!,anger
That sucks!,anger
I know it&#39;s beautiful Amazing.,joy
Do you remember when we went to Central Park and rented boats? That was fun.,joy
Yes. He could row like a Viking.,joy
He said he will really miss you guys.,sadness
"You had a tough day, huh ... come on.",sadness
...I love you.,joy
"Anyway, great idea!",joy
Great!,joy
"I mean, have you seen a car come by here in the past hour and a half?",fear
"No! No, I&#39;m not getting in a car with Ross, we just have to live here!",anger
But if...,fear
"No guys, I&#39;m not getting in a car with him, you have to think of something else.",anger
"Oh well, oh Joey and Chandler are back.",joy
Yes you are wrong! Okay you are wrong,anger
"Okay, we will - we will look to our future and think about our marriage and the days ahead.",joy
Don&#39;t laugh at him!,anger
Aww!,joy
We will find love!,joy
Certainly!,joy
That makes it so easy for me to be 80% happy for Monica and Chandler!,joy
I agree!,joy
And!,joy
And!,joy
Oh yeah! We went to the Knicks game.,joy
Then we went to this bar and he hooked us up with all these women!,joy
Where-women? You mean like old women,disgust
"Phoebe, we are so proud of you! You&#39;re unbelievable!",joy
You roll a hard eight and we&#39;re getting married here tonight.,joy
Yes! I love you! I&#39;ve never loved anyone as much as you.,joy
I&#39;ve never loved anyone as much as you.,joy
"Okay, if an eight comes up, we&#39;ll take that as a sign and do it!",joy
Whoa!,joy
Okay!,joy
OK! Come on! Let&#39;s go! Well!,joy
Well!,joy
Here it is! Here it is!,joy
That&#39;s it I&#39;m done. Angry! The meat starts to sweat.,joy
"Well, Joey, we are all ... we are all very proud of you.",joy
"Ah, just cut a little bit for me.",joy
Cut me a real piece!,anger
"Phoebe, you said it was urgent!",anger
Do you realize I have a classroom full of students?,anger
"Okay, I can&#39;t imagine, I can&#39;t imagine my life without you.",fear
"Without, without these arms and your face and this heart.",sadness
"Your good heart, Rach, and, and ...",sadness
"I can&#39;t, you are a very different person from me now.",sadness
I&#39;ve always seen you as someone who would never hurt me.,sadness
"It just changed, everything.",sadness
Forever.,sadness
How is it then?,sadness
Hi there!,joy
"Oh, oh.",fear
COME ON!!!!,anger
"No! No! I can do it all over again! See? Appearance! Hmm, noodle soup. Damn!",anger
"You are not!! Ross, you only save them for the important people !! OK?! What if I was the President ?!",anger
And this isn&#39;t the only hospital in this town and we have no problem with that - Whoa!,anger
Oh god ... okay. Alright. Alright. OK. Ross please don&#39;t hate me.,fear
Hello Pheebs!,joy
Hi there!,joy
And!,joy
Oh now you&#39;ve lost me,fear
You stole the phone!,anger
"Um, okay. But while you choose, let me show you the features of my new ringing handbag. Oh it works!",fear
Phoebe!,anger
I don&#39;t know Tag! How can your genitals make phone calls? OK? It is not a perfect world! Just go please.,anger
Fine.,anger
How are you&#39;? Welcome. Good to see you!,joy
"I know he&#39;s too charming, but going out the two of you will only make it so much harder for me to hate him.",disgust
"Don&#39;t get your hopes up, we only see them from behind or from the neck.",sadness
Oh wait a minute! Stop! Stop! Stop!,joy
I can see it from here. It costs you a husband.,joy
Oh yes right there!,joy
Do you want it there? You take it there baby,joy
Happy?! Do you want me to be the Vic? Happy?,anger
Why don&#39;t you tell me what to be,anger
Because I can&#39;t fucking find out!,anger
"You make me fly! High! Okay, we&#39;ll pick it up here tomorrow.",joy
"Yeah, we both auditioned for the role, and it turned out they liked the stupid gay thing and cast it.",anger
"I&#39;m sorry, I&#39;m sorry, I&#39;m sorry",sadness
"Oh. It&#39;s just so unexpected! I ... I uh ... boy, I&#39;m telling you, it&#39;s just an honor to be nominated for one",joy
"I&#39;m sorry, I&#39;m just looking forward to being an aunt!",joy
Hey Phoebe!,joy
Hello Pheebs!,joy
Pheebs!,joy
Fine!,anger
"Nothing, sorry, I&#39;m just crazy.",sadness
"More coffee here, please!",joy
"Well, I&#39;ve been thinking a lot about what you said, and uh, I realized, duh, okay, maybe I was a little judgmental.",sadness
Why do I have a feeling that is not as happy as it sounds? No! Nooooo !!!,fear
Shut up!,anger
"Hi there! Hi, I&#39;m Ross, you don&#39;t know me, but I&#39;m a big, big fan of yours. I mean,",joy
"Don&#39;t, don&#39;t just dismiss this so quickly.",fear
"Eh, no.",fear
Hey Pheebs!,joy
"Yes, she couldn&#39;t live without the Chan Love.",joy
"Ohh, get a room.",disgust
I know. Use it.,disgust
I&#39;m so sorry.,sadness
"Well look, I deserve to know where I&#39;m from.",anger
"So if you can help me find my dad, you should!",anger
Otherwise you&#39;re just mean!,anger
So just tell me the truth!,anger
"And I&#39;m very sorry, but I don&#39;t know where your father is and that&#39;s the truth.",sadness
Oh.,sadness
"You know, I wanted to tell you yesterday, but I felt kind of floating and ...",sadness
"All right, I&#39;m not an Englishman.",sadness
I&#39;m so sorry.,sadness
"Okay, well, I just have one thought! It&#39;s about the hot nanny, I need to see her!",joy
I have it!,joy
Here we go!,joy
You are steel!,joy
And the fat girl in me really wants to go.,joy
"Oh come on man, you can dance with my partner, she&#39;s real, um, gentle!",anger
"Ross, get over it! It&#39;s not that she hates you.",anger
Yes but,sadness
"Oh, Phoebe is here! Okay let&#39;s turn all the lights off and we&#39;ll just watch the movie!",joy
"Okay. Hey - Oh, coole Laken!",joy
Oh do you like it Do you want to know where I got it from?,joy
For sure!,joy
"Did you buy your bed linen at a flea market? Ross, come on, you need to loosen up your wallets a little.",disgust
Many Thanks!,joy
Ugly naked guy lays kitchen tile. Eww!,disgust
"Eww! Look, I have a favor here. If I do this for her brother, Angela may come back to me.",disgust
"I know, but I made a big mistake. I should never have broken up with her. Will you help me? Sorry?",sadness
"So honey, this morning was fun right? I&#39;m hopping towards you in the shower.",joy
Yes! And maybe one day we could get a place with two bathrooms.,joy
"Carol, our sex life is - it just doesn&#39;t work",sadness
"Hey there, little guy!",joy
"Hey, why don&#39;t you show dad how to put your shoes on in your room!",joy
Summer!,joy
Summer!,joy
Summer!,joy
Well!,disgust
I love this idea!,joy
"Hey, Sophie!",joy
"Oh, an idiotic customer posted a suggestion in the suggestion box.",anger
Hi there!,joy
Hi there!,joy
Hi there!,joy
"Oh, I&#39;m sorry, oh, I just thought we could have them flogged and then add some peas and onions.",sadness
"Well, because then they would be like my mother made them, you know, before she died.",sadness
Okay I don&#39;t understand,anger
I totally understand!,joy
Great. It&#39;s gym class again.,disgust
"Ooh, and it&#39;s so nice to have this little sink here ...",joy
"Oh, isn&#39;t that nice? It&#39;s so quiet I could just lie here all day.",joy
Open your curtains Open your curtains,joy
I&#39;m so glad we have adjoining rooms!,joy
The sun is shining!,joy
No!,sadness
Damn!,anger
Oh that&#39;s a shame. I saved up somehow. Are you sure that there are no studies I can take part in?,sadness
We are sorry.,sadness
"Yes, it has! I made cookies!",joy
You know it still smells like monkeys.,disgust
And!,joy
"God, Ross has an appointment with your sister! How weird is that ?!",disgust
He takes off her coat!,disgust
"Oh, that&#39;s just awful.",disgust
You suck!!,anger
Was?!,anger
"Okay, the breakup is still ongoing!",anger
"See I understand if you come over to hit me, I deserve it.",sadness
Oh uh ... I actually came over to ask you.,fear
"Oh! Impressive! Oh yeah! That sounds good. I&#39;ll just put this back in my pocket, pretend",joy
For sure!,joy
Horny bitch. No! You are a horny bitch! No! You are the horny bitch! No! You are a horny bitch!,anger
"Patrick and I had such a great time last night! I mean, I think this could maybe get serious.",joy
Honey! Dinner is ready!,joy
What has my little cook got for me tonight?,joy
Your favorite!,joy
"Ho-ho-ho, fried stuff with cheese!",joy
Yes! And lots of it!,joy
Thank you sweetheart. Give me some sugar here. OK.,joy
Okay we&#39;re leaving,joy
Here we go! Here we go! Here we go! How are you&#39;?,joy
Shut down? She has her tongue in his ear.,disgust
"Joey, this is sick, it&#39;s disgusting, it&#39;s - it&#39;s - not really it, right",disgust
Oh my god what were you thinking,disgust
I&#39;m out of here.,disgust
Hi there! Marriage please!,joy
"Yes, we want to get married!",joy
Blood! Dum-dum-dum! Blood! Blood! Blood! Dum-dum-dum!,joy
OK! That&#39;s it! We are getting married!,joy
Hello Mrs. Ross!,joy
"Hi, Mr. Rachel!",joy
Yes! Total!,joy
Oh! Many Thanks! Many Thanks! Many Thanks! Yes! Many Thanks!,joy
You ... won&#39;t ... believe it! Joshua came to work today and you know what happened?,joy
Naughty!,joy
"Okay, okay, okay, should I be scared?",fear
I want this place so much !!,joy
There&#39;s twelve dollars I&#39;ll never see again!,disgust
Bye Chandler! I miss you now.,sadness
Okay did you see that ?! With the inappropriateness and the pinching !!,disgust
"Ross, um, you&#39;ve been in there a long time. I&#39;m starting to freak out kinda.",fear
Ready? Wrestling!,joy
"Can we please concentrate here, the life of a naked man hangs in the balance!",fear
He lives! He lives !!!,joy
And yet we still nudge him.,disgust
"Including umm, bad bitch and uh, sick bastard.",disgust
No!,anger
"Don&#39;t look at her, you sick bastard!",anger
Baby i swear I didn&#39;t look at her!,fear
She is at work! You like that you are sick son of a bitch!,anger
See? See? It was because you look fat perverted!,anger
Hi there! Do you wanna live to see your baby ?!,anger
"Don&#39;t talk to my husband like that, you stupid bastard!",anger
And!,joy
Oh of course!,joy
"Certainly! Phoebe, you won&#39;t find a single game show host whose ass I can&#39;t kick.",joy
Say it!,joy
Let&#39;s say we are unagi!,joy
Say it!,joy
"Yes, but you can&#39;t tell anyone! Nobody knows!",joy
No no no no no! You can not!,fear
"Sorry? You&#39;re welcome?! We just don&#39;t want to bother telling everyone, okay? Just promise you won&#39;t say it.",fear
I know it&#39;s great!,joy
"Aww, I don&#39;t want to see that!",disgust
What do we do now What do we do now,fear
Yes! Angry!,joy
"Great soap opera everyone&#39;s playing tonight, class fired.",joy
"Well, I&#39;m going to my new apartment now. Ehh!",joy
Oh guys!,joy
"No, don&#39;t look directly at them!",fear
This is your grandmother&#39;s engagement ring. I want you to give it to Rachel.,joy
Just listen to me!,fear
"Maybe that would have happened if I had cared for more, or paid more attention, or ... had a uterus.",sadness
"I know no, no, you know that you don&#39;t deserve this, you not Ross.",sadness
"You are, you are real, you are so good.",sadness
Many Thanks.,sadness
"Hi there. I just spoke to Joanna and she loves you. You got it, you got the job.",joy
And.,joy
Congratulations !! -lations-lations.,joy
I can&#39;t believe I did this! What an idiot!,anger
Apparently you&#39;re not very good at it!,anger
Because the universe cares!,joy
The whole universe!,joy
I really wish they would take care of it just a little.,sadness
This is a crazy place.,fear
"I like this. It seems to be saying, &quot;I love you and that&#39;s why I have to kill you.&quot;",joy
They can&#39;t all be bad. Find the one where you put your bedroom eyes. Ohh there it is.,joy
I am having a really good time!,joy
"Hey, I don&#39;t mean to be presumptuous, but I have these two tickets to the ballroom dance finale tomorrow night if you wanna go?",fear
"Yeah, I ... well, I mean, I missed the semi-finals so I&#39;d just be lost.",sadness
You two are going to have very hairy children.,disgust
Phoebe! Don&#39;t put ideas in his head!,anger
Damn Phoebe !!,anger
Why does this keep happening to me?,anger
"Look, I just lost my other job.",sadness
You have no idea how much I need this.,sadness
Please help me for the sake of the old days.,sadness
This poor guy has been in a coma for five years. It is hopeless.,sadness
It is not hopeless! Dr. Stryker Ramoray is a miracle worker. Look here he comes.,joy
I&#39;m back baby Hahaha!,joy
The kid kicked me really hard on the plane.,anger
He took my snack!,anger
I will not go into that again!,anger
Well I told you not to go Here. There. OK.,anger
Sure! Only an idiot would wear this stuff if you didn&#39;t have the car! Law?,anger
Don&#39;t call us that!,anger
The judge wouldn&#39;t allow us to be repealed! Now we have to get a divorce !! Did a Porsche throw up on you?,anger
Hey sweetie!,joy
Hi there!,joy
"Oh that&#39;s so cute! Look Chandler, I don&#39;t care if you can&#39;t cry, I love you.",joy
What kind of father do you think i am,anger
"Yes, and they come around all day. They love it!",joy
Do you love my candy? Oh man!!! I have to do more !!,joy
Horse! The neighbors ate all of my candy !!,joy
You like it?,joy
And there is dad!,joy
Right where we were looking all night!,joy
He is so cute!,joy
"Oh, George, baby drop the towel!",joy
Yeah drop it! Drop the towel! Please drop that - wowww.,joy
I have to tell you Bob is great.,joy
"Yes, is not it?",joy
"It is so great to meet a man who is smart, funny, and has an emotional age like eight.",joy
Do you know what else He&#39;s amazing in bed.,joy
"That is correct, and that is why we celebrate Hanukkah today. The end.",joy
Great!,joy
Hi there!,joy
"Come on, come on, let&#39;s light the candles!",joy
I finish!! Woo-hoo! I am fine!! I&#39;m fine!!,joy
"Listen, can you promise me that you won&#39;t tell her?",fear
Are you going to let it go for god&#39;s sake? There is no Rachel!,anger
Oh thank you honey,joy
No problem. I can&#39;t wait for you to meet my friends.,joy
Don&#39;t you think that they will judge and ridicule me?,fear
Do you respect your body,disgust
Don&#39;t you know what you&#39;re doing to yourself,disgust
"Hey, you know, I had it with you and your cancer and your emphysema and your heart disease.",anger
Hey buddy what&#39;s up!,joy
"Okay, thank you!",joy
God he is good.,joy
"III was selfish, although we want the same things now, maybe not in the future.",sadness
"Right, not only that. Um, although we love each other as much as we do, anyway",sadness
"Yet. Um, you&#39;re too young to really know what you want.",sadness
A little ... creepy with no light.,fear
Bwah-hah-hah!,joy
You blew her away!,joy
Oh I can&#39;t tell you how amazing it was to look at the crowd and see your face!,joy
"No, it&#39;s okay! I felt like a rock star!",joy
Hi there!,joy
"You-you-I wrote it, I wrote it on the board!",fear
Absolutely!,joy
I&#39;m so on board!,joy
"Oh sure, every Sunday night I tell myself to stop, but every Monday morning it does",disgust
Well then let&#39;s just stop! We&#39;ll just stop! Let&#39;s all stop!,joy
Absolutely!,joy
We can help each other!,joy
We could be like the Patch Sisters!,joy
Oh you know we should really stop Okay let&#39;s stop!,joy
Yes! Great! Give me these cigs! Give it! Give it!,joy
My late husband gave me the lighter. I am not joking.,sadness
Oh hey don&#39;t do that! Cut it out!,anger
It&#39;s worse than your thumb!,disgust
Hey this is so unfair!,anger
Big thing!,anger
I mean what the hell is that thing?,disgust
"Oh, &quot;you do, don&#39;t you&quot;?",anger
Ohh-ho-hooohhh. The hair comes out and the gloves pull on.,anger
Awww! Mel Torme has died.,sadness
Aw! Does that mean the,sadness
"Yeah, I don&#39;t like that word.",disgust
Yoo-hoo! Aaron Litman-Neurolic would like to say hello to his future bride.,joy
"Oh! Impressive! It kind of takes your breath away, doesn&#39;t it?",joy
"Well, that&#39;s what I thought about my first husband. Now I&#39;m lucky if my child can spend the weekend with their father, the twins and the little wife New Boobs.",disgust
"It&#39;s not fair Ross, we&#39;re here first!",anger
Oh what&#39;s the matter with me lately?,sadness
Pooh!,disgust
I do not know what to do!,fear
I called the company that sent and they don&#39;t care!,anger
Hi Guys!,joy
Hi there!,joy
"Just wanted to say thank you again for last night, what a great party!",joy
And the guys from work had a great time.,joy
Oh absolutely! It has been in my family for generations and every bride who has worn it has had a long and happy life.,joy
Many Thanks.,joy
"Oh, don&#39;t thank me, thank the idiot who never showed up. Okay, I have to get to work.",anger
"Yes, I am driving. I make four dollars an hour, I&#39;ve saved 350 years!",disgust
Great! Many Thanks.,joy
We&#39;re having a good time.,joy
"We laugh, we play.",joy
It&#39;s like we&#39;re father and son.,joy
Honey relax Ross is great with him. Don&#39;t look so surprised. I am a nice person.,joy
Oh that&#39;s so cute,joy
My moms love me. That&#39;s smart.,joy
Thank you Monica!,joy
Does that smell bother you?,disgust
Okay!,joy
Well I said yes.,fear
"No, it&#39;s worse than that.",disgust
It is wrong.,disgust
I want to wear this every day.,joy
You look so beautiful.,joy
I am so happy for myself.,joy
Damn!,anger
I will tell you who it hurts!,anger
It hurts the boy who stole all of his clothes in PE class so all he has to do is go to the director&#39;s office with a catcher&#39;s glove!,anger
"I will be! Look, I don&#39;t want you to teach my son this stuff. OK?",anger
Mist !!,anger
Hi there! Look who&#39;s back! It&#39;s the birthday boy! How does the birthday child feel?,joy
I love this plan!,joy
I want to marry this plan!,joy
Why am I not surprised?,disgust
Do you know what Ross? I won&#39;t let you get away with this!,anger
"Well, let&#39;s see!",anger
"Dad, we can&#39;t believe you&#39;re selling the house.",sadness
I am sorry that we can no longer store your childhood things.,sadness
"Oh that&#39;s okay, can&#39;t wait to see it all again! All memories",joy
"Hi, my name is Ben. I&#39;m a hospital employee, Ben. It&#39;s Ben ... to the rescue!",joy
"You have a very impressive résumé, Ms. Green. I particularly like what I see here about implementing a new filing system.",joy
Many Thanks.,joy
It certainly brightened up the inside of the filing cabinets.,joy
"Yes, Joanna was really an amazing mentor to me.",joy
Oh. And Rachel was really amazing at getting my morning bagel for me. It&#39;s amazing how she almost gets it right,joy
I love working with designers!,joy
"Did she call? You - you told her I was sick, didn&#39;t you? Always tell her I&#39;m sick!",fear
Wash your hands !!!,disgust
"Oh mon, I laughed so hard",joy
Hi there!,joy
Oh dear God! That&#39;s it! I really hope it is you!,joy
Me too!,joy
I!!! Oh!!,joy
Because then I don&#39;t have to!,joy
"Aww, and good luck to you too! What a lovely woman!",joy
"Ohh, lilies. Joey, you are my favorite. Many Thanks.",joy
And a brownie!,joy
Oh man!,joy
This is so great!,joy
I actually feel like I&#39;m on a real date!,joy
Can you believe what an idiot Ross was?,anger
Hahaha.,joy
You&#39;re welcome! I&#39;m not as bad as Ross.,disgust
Oooooh. : Oh! I have an interview! I have an interview!,joy
God. I feel hurt.,disgust
Did someone else feel like they just wanted to peel the skin off their body to have something else to do?,disgust
"There is a beautiful woman at eight, nine, ten o&#39;clock!",joy
Oh hello!,joy
"She&#39;s gorgeous! She makes the women I dream of look like short, fat, bald men!",joy
"Well, go over to her! She&#39;s not with anyone.",joy
"Oh yeah, and what would my opening line be? &#39;Excuse me. Blarrglarrghh. &#39;",fear
"Oh come on She is a person, you can do it!",joy
Thanks buddy.,joy
You could do that!,joy
"That&#39;s great! Helen, could you come in here for a moment?",joy
"I&#39;m so sorry, so sorry!",sadness
Uh-huh.,disgust
I am!!,joy
"If you only hear you describe it as prohibited, it&#39;s really hot.",joy
Let&#39;s get a hotplate too!,joy
"Rach, you are in a great place in your life. Come on, you have a great job! Good friends",joy
I was only joking. I&#39;m getting married on July 25th,joy
I&#39;m just kidding too. I&#39;m getting married in December.,joy
"Oooh, it&#39;s getting closer!",joy
And!,joy
I know! I almost canceled my wedding. Oh who is your band ?!,joy
"Ooh, is that spelled with a &#39;C&#39; or a &#39;K&#39;? Oh dear God! It does not matter; You are both great!",joy
This place is so overpriced.,disgust
"We could be ourselves, we didn&#39;t have to play games ...",joy
Let her know i like her,fear
"Oh no no no no no The last time I left a spontaneous message, I used the phrase &quot;Ja indeedy-o&quot;.",disgust
I thought you might ... I&#39;ll try to get back as soon as possible. I&#39;m so sorry.,sadness
"Because she is, she is now alone and pregnant and and sad.",sadness
Let&#39;s try to shovel!,joy
It was embarrasing; Children made fun of me.,sadness
It&#39;s been a pretty tough year.,sadness
That&#39;s great!,joy
I already have the feeling that I know you a little better!,joy
Many Thanks.,joy
It was terrible. They called me Chicken Boy.,sadness
"If you are going to pick one, just pick one! How would it be with?",anger
"Hey, it&#39;s not the first time I&#39;ve lost a girl to a cowboy who sprays cologne. Bijan for men? Bijan for men ?!",sadness
That was great!,joy
That was great.,joy
We are the hottest! Huh?,joy
"What can I do? A person wants to break up, you break up.",sadness
Oh! I knew it! I knew it! I felt very fat this morning.,joy
Yes! It&#39;s right in there!,joy
"Oh cool. Hi there! Take off your pants, they look done!",joy
"Oh, I took Larry over there to eat, but it all got hurt. So we turned it off!",disgust
Do not let him in! I&#39;m supposed to be at a regatta gala.,fear
Ok great!,joy
You are so efficient. I love you!,joy
Let&#39;s go!,joy
That will work!,joy
"Okay, now we just need something borrowed!",joy
Oh not much. I got a job.,joy
Oh that&#39;s great.,joy
No! I lie. I am so drunk,joy
"Great Monica you know what, you could have called, I was up here, I was worried ...",sadness
Water rules!,joy
"No, it&#39;s me!",joy
"You know, I&#39;m not just the person who loosens the pillows and pays the bills as soon as they come in!",anger
Ich bin Monana!,joy
Helloooo? Yes. Oh dear God. Many Thanks.,joy
No!,anger
Done!,joy
I&#39;m so sorry.,sadness
Makes it?,fear
"What are you talking about, Ross, you just said you read it twice!",anger
"Look you know what, either it does or it doesn&#39;t and if you have to do it right now",anger
"Because I was kind of finished, I told her it was already done.",fear
Great!,joy
for me is not to see you anymore.,sadness
Oh God.,fear
"It&#39;s awful, I know, I mean, I feel awful, but I have to do this if my marriage is to work.",sadness
And I have to do that,sadness
You have no idea what a nightmare that was. It is so difficult.,sadness
"Oh yeah really? Is it Ross Yes? Okay, let me make this a little easier for you.",anger
Storm!,anger
"Yes, I am that angry !!",anger
Oh yeah! Amy just burned Jo&#39;s manuscript. I don&#39;t see how he could ever forgive her.,joy
Hey-hey!,joy
Hi there!,joy
Oh thank you in advance.,joy
Hi there!!,joy
"Oh that&#39;s right It&#39;s your first day So, are you excited to fight fake crimes with your robot buddy?",joy
Am i excited The main role in my own TV series? I&#39;ve dreamed of this for years! Why didn&#39;t I prepare ?!,joy
But I have to trade with a robot Pheebs and - and I don&#39;t know anything about technology!,fear
"Now that the fire was kind of my fault, this is where you should stay.",sadness
Okay!,joy
So Rach!,joy
You are the first guest at Hotel Monica!,joy
"Oh, you&#39;ve been through so much.",sadness
I have.,sadness
"Oh, poor little Tooty is scared to death. We should find its owner.",sadness
Why don&#39;t we just put &#39;poor little Tooty&#39; in the hall?,disgust
"Ben, I want you to know that there may be times when I&#39;m not around.",sadness
He is so amazing.,joy
Oh i know Look at him.,joy
"Come on, they will love you.",joy
Oh dear God! This is a six hour pill! That&#39;s it! I&#39;m out of the woods! Ohh! What a relief!,joy
Good for you!,joy
"Oh, it&#39;s like a huge weight has been lifted!",joy
"Because look, no hair loss, no rash, no hives, I&#39;m just so happy!",joy
I said i will do it!,anger
"Nobody want to do it? All right, I&#39;ll do it myself.",disgust
Monica! I won&#39;t screw it up!,anger
"You are right, i am sorry.",sadness
"Actually, you&#39;ve been a great help tonight.",joy
That&#39;s why I&#39;m here of course!,joy
"Because I met him on the bench, he&#39;s still so cute.",joy
"Monica, you are so lucky! He&#39;s like the most popular guy in school !!",joy
I know!! Chip? Hi there! It&#39;s monica. &#39;Kay. &#39;Kay. OK. Okay goodbye Oh my god we just had it,joy
It is so good. Oh thank you.,joy
Well.,joy
I am so glad you enjoyed it.,joy
I like her. She looks smart.,joy
"I have no idea what could be. Look, I&#39;m sorry I had to work tonight.",sadness
"I&#39;ve been a nice guy so far, but I don&#39;t need this heartache.",anger
I&#39;ll call the landlord and tell them that Monica is illegally sublet grandmother&#39;s apartment.,anger
"Your friends are out of here, buddy.",anger
Why don&#39;t you tell me something I don&#39;t know,anger
Well! I found one that fits!,joy
Oh damn!,disgust
She just called and said she was going to be working late!,anger
She keeps lying to me!,anger
That&#39;s it!,anger
You know what?,anger
I just go over and confront them now!,anger
"So Chandler, I&#39;d like to come over tonight.",joy
Oh absolutely. Shall we say around seven?,joy
Well. I am very much looking forward to you and me having intercourse.,joy
You know hey! You are the one who finished it do you remember?,anger
No.,disgust
I have won! That was my quarter!,anger
Fine! Here! Take a hike toots!,anger
"Excuse me please! This lady played my quarter, that&#39;s my money.",anger
Sells drugs to children.,disgust
She sells drugs to children.,disgust
It was my neighborhood!,anger
"Okay, lady, you are out of here.",disgust
No! No you can&#39;t arrest me! No!! I will not return! I will not go back to that hellhole !!,anger
No!,anger
"Ross, come on!",anger
No!,anger
"Oh Ross, come on! This is not, this is not a marriage !! This is the worst hangover in the world! Ross, listen if",anger
Well. Alright i will do it.,sadness
And!,joy
Many Thanks.,joy
"That was very nice, Ashley.",joy
Calm down? Calm down? You hooked me up with the woman I dumped twice in the past five months!,anger
"I&#39;m sorry, I&#39;m sorry, you are right Come on do it, do it, go, come on !!!",anger
"Ohh, you and your ways. It&#39;s Christmas time. I&#39;ll be one of those collection donations.",joy
"Yes, I already have my bell and later ... I&#39;ll get my bucket.",joy
"Yeah, yeah, I&#39;ll be out there making people happy.",joy
"I mean, last year I spread a little joy, but not really enough.",joy
So this year I&#39;m going to do the whole city.,joy
"Oh! Look at this, time is up! It&#39;s my turn!",joy
"Well then, give me a really nice massage!",joy
Ah! Ahh !! Ahh !!,joy
It&#39;s so good I don&#39;t know what I did to deserve it!,joy
Say goodbye to sore muscles!,joy
Goodbye muscles !!,joy
No drinks near the bucket!,anger
Put it there and then you can make a contribution!,anger
And you can leave the injured bunny look over there too!,anger
Hello Bob!,joy
I thought I told you to get out of here!,anger
Hello Joe! Do you want to shoot some hoops?,joy
Oh cool!,joy
That&#39;s great.,joy
"Yeah-yeah, and if I get it during the day I&#39;ll be Dr. Drake Remoray, but at night I&#39;ll be Joey Trrrribbiani!",joy
You are perfect for that! That&#39;s your name already!,joy
But the audition is in a couple of hours and I don&#39;t even understand the game.,fear
Great!,joy
Well! Let&#39;s play Bamboozled!,joy
"Yeah, isn&#39;t that a cool name?",joy
And!,joy
No!,disgust
Look at that! There you are!,joy
"No! No!! No! Can I speak to someone in charge, please ?!",anger
Fine!,anger
"If I&#39;m the only person who can appreciate the sanctity of the written word, I&#39;ll go up there and defend it myself!",anger
And don&#39;t follow me!,anger
"Ohh! Phoebe, this is all your fault! Now he loves her, he&#39;s going to marry her, and it&#39;s all your fault.",anger
Oh like I&#39;m quitting this job! Free popcorn and candy whenever I want. I can get you free posters for your room.,joy
Auto Net!,joy
I love your car,joy
And!,joy
It has it!,joy
Hello kids!,joy
"No, the quiet thing!",anger
No no no no!,fear
AND!!,joy
"Look, Chandler, it was instinct! OK? I just did it!",anger
Many Thanks.,joy
"Oh-oh-ho, yes!",joy
Look at the ring.,joy
Kind! One and a half carats light.,joy
Hey-hey Pheebs!,joy
Chandler is going to ask Monica to marry him!,joy
"Well she came in while I was looking at the ring brochures. You can understand, right? Guys? Guys?",fear
Hey Pheebs!,joy
Hi there!,joy
Listen. How much a man am I ?!,joy
Impressive! Kind! Male and kind of a bitch too.,joy
Silk? Feels really good!,joy
"Thanks for letting me stay here! I mean, Monica&#39;s place was nice, but her fiancée must be staring a lot.",joy
Well maybe you can do me after we meet again.,joy
Yeah no !!,disgust
"Hi there! Your! Try it, try it out! Guess what job I have.",joy
Yes. Yes.,joy
You should take a fifth walk to Saint Patrick&#39;s Cathedral and there is this great little pastry shop that she would love.,joy
We are still married! Don&#39;t tell Rachel. See you later.,joy
Fabulous.,joy
"I agree. So you didn&#39;t say anything to Issac, did you?",fear
"No, we are not!!",anger
Emily!,joy
You&#39;re so sweet.,joy
"II, I have to tell you something.",fear
"Um, I thought I&#39;d just come out and say it.",fear
Okay?,fear
"III ah, I think I love you.",joy
"Like-like, Handmodellierung!",joy
Or - or magic!,joy
We could have our own show!,joy
"You know we could clap our hands together, people will love it!",joy
And-and-and I wrote a song for us!,joy
(Singing to the melody of,joy
"Well I don&#39;t know, I suppose we unconsciously preferred you, you were a medical miracle! The doctor said your mother could",joy
Great!,joy
"You know Joey, I could teach you to sail if you want.",joy
Yes! I&#39;ve been sailing all my life. When I was fifteen my father bought me my own boat.,joy
He&#39;s coming here for Thanksgiving!,joy
Uh-huh!,joy
"Guys, rules are good! Rules help control the fun! Oh!",joy
I&#39;m just going to flush myself in the toilet now ...,disgust
Okay goodbye ...,disgust
"Well, it&#39;s official that there are no good movies.",sadness
How could you not give me the message?,anger
I do I do,joy
And!,joy
"Oh, now I feel bad for the kid!",sadness
Oh yeah! Many Thanks! Oh that is - that&#39;s how the French actually drink it.,joy
A new pair of shoes for the Chan-Chan man! Yes!,joy
Yes! I&#39;ve never seen a role like this in my life!,joy
That&#39;s right baby! Okay what do I want now,joy
8. 8!,joy
Many Thanks!,joy
"If you get this, we&#39;ll all buy steak dinner here!",joy
Do not smoke.,sadness
I did it!,joy
Susan! Hi there!,joy
Hi there!,joy
Thank you for coming.,joy
